Entry,Anode/Cathode,Solvent,Electrolyte,Current/Potential
6795,Fe/BDD,AcOH: MeCN(1: 1),nBu4NOAc,1.0 V
6796,Fe/BDD,AcOH: MeCN(1: 1),nBu4NOAc,1.5 V
6797,Fe/BDD,AcOH: MeCN(1: 1),nBu4NOAc,0.6 mA
6798,Fe/BDD,AcOH: MeCN(1: 1),nBu4NPF6,0.3 mA
6799,Fe/BDD,AcOH: MeCN(1: 1),nBu4NPF6,0.9 mA
6800,Fe/BDD,AcOH: MeCN(1: 1),nBu4NPF6,1.2 mA
6801,Fe/BDD,AcOH: MeCN(1: 1),nBu4NPF6,1.0 V
6802,Fe/BDD,AcOH: MeCN(1: 1),nBu4NPF6,1.5 V
6803,Fe/BDD,AcOH: MeCN(1: 1),nBu4NPF6,0.6 mA
6804,Fe/BDD,MeCN,NaOPiv,0.3 mA
6805,Fe/BDD,MeCN,NaOPiv,0.9 mA
6806,Fe/BDD,MeCN,NaOPiv,1.2 mA
6807,Fe/BDD,MeCN,NaOPiv,1.0 V
6808,Fe/BDD,MeCN,NaOPiv,1.5 V
6809,Fe/BDD,MeCN,NaOPiv,0.6 mA
6810,Fe/BDD,MeCN,K3PO4,0.3 mA
6811,Fe/BDD,MeCN,K3PO4,0.9 mA
6812,Fe/BDD,MeCN,K3PO4,1.2 mA
6813,Fe/BDD,MeCN,K3PO4,1.0 V
6814,Fe/BDD,MeCN,K3PO4,1.5 V
6815,Fe/BDD,MeCN,K3PO4,0.6 mA
6816,Fe/BDD,MeCN,KOAc,0.3 mA
6817,Fe/BDD,MeCN,KOAc,0.9 mA
6818,Fe/BDD,MeCN,KOAc,1.2 mA
6819,Fe/BDD,MeCN,KOAc,1.0 V
6820,Fe/BDD,MeCN,KOAc,1.5 V
6821,Fe/BDD,MeCN,KOAc,0.6 mA
6822,Fe/BDD,MeCN,LiClO4,0.3 mA
6823,Fe/BDD,MeCN,LiClO4,0.9 mA
6824,Fe/BDD,MeCN,LiClO4,1.2 mA
6825,Fe/BDD,MeCN,LiClO4,1.0 V
6826,Fe/BDD,MeCN,LiClO4,1.5 V
6827,Fe/BDD,MeCN,LiClO4,0.6 mA
6828,Fe/BDD,MeCN,LiOAc,0.3 mA
6829,Fe/BDD,MeCN,LiOAc,0.9 mA
6830,Fe/BDD,MeCN,LiOAc,1.2 mA
6831,Fe/BDD,MeCN,LiOAc,1.0 V
6832,Fe/BDD,MeCN,LiOAc,1.5 V
6833,Fe/BDD,MeCN,LiOAc,0.6 mA
6834,Fe/BDD,MeCN,NaO2CAd,0.3 mA
6835,Fe/BDD,MeCN,NaO2CAd,0.9 mA
6836,Fe/BDD,MeCN,NaO2CAd,1.2 mA
6837,Fe/BDD,MeCN,NaO2CAd,1.0 V
6838,Fe/BDD,MeCN,NaO2CAd,1.5 V
6839,Fe/BDD,MeCN,NaO2CAd,0.6 mA
6840,Fe/BDD,MeCN,NaOAc,0.3 mA
6841,Fe/BDD,MeCN,NaOAc,0.9 mA
6842,Fe/BDD,MeCN,NaOAc,1.2 mA
6843,Fe/BDD,MeCN,NaOAc,1.0 V
6844,Fe/BDD,MeCN,NaOAc,1.5 V
6845,Fe/BDD,MeCN,NaOAc,0.6 mA
6846,Fe/BDD,MeCN,nBu4NOAc,0.3 mA
6847,Fe/BDD,MeCN,nBu4NOAc,0.9 mA
6848,Fe/BDD,MeCN,nBu4NOAc,1.2 mA
6849,Fe/BDD,MeCN,nBu4NOAc,1.0 V
6850,Fe/BDD,MeCN,nBu4NOAc,1.5 V
6851,Fe/BDD,MeCN,nBu4NOAc,0.6 mA
6852,Fe/BDD,MeCN,nBu4NPF6,0.3 mA
6853,Fe/BDD,MeCN,nBu4NPF6,0.9 mA
6854,Fe/BDD,MeCN,nBu4NPF6,1.2 mA
6855,Fe/BDD,MeCN,nBu4NPF6,1.0 V
6856,Fe/BDD,MeCN,nBu4NPF6,1.5 V
6857,Fe/BDD,MeCN,nBu4NPF6,0.6 mA
6858,Fe/BDD,TFE,NaOPiv,0.3 mA
6859,Fe/BDD,TFE,NaOPiv,0.9 mA
6860,Fe/BDD,TFE,NaOPiv,1.2 mA
6861,Fe/BDD,TFE,NaOPiv,1.0 V
6862,Fe/BDD,TFE,NaOPiv,1.5 V
6863,Fe/BDD,TFE,NaOPiv,0.6 mA
6864,Fe/BDD,TFE,K3PO4,0.3 mA
6865,Fe/BDD,TFE,K3PO4,0.9 mA
6866,Fe/BDD,TFE,K3PO4,1.2 mA
6867,Fe/BDD,TFE,K3PO4,1.0 V
6868,Fe/BDD,TFE,K3PO4,1.5 V
6869,Fe/BDD,TFE,K3PO4,0.6 mA
6870,Fe/BDD,TFE,KOAc,0.3 mA
6871,Fe/BDD,TFE,KOAc,0.9 mA
6872,Fe/BDD,TFE,KOAc,1.2 mA
6873,Fe/BDD,TFE,KOAc,1.0 V
6874,Fe/BDD,TFE,KOAc,1.5 V
6875,Fe/BDD,TFE,KOAc,0.6 mA
6876,Fe/BDD,TFE,LiClO4,0.3 mA
6877,Fe/BDD,TFE,LiClO4,0.9 mA
6878,Fe/BDD,TFE,LiClO4,1.2 mA
6879,Fe/BDD,TFE,LiClO4,1.0 V
6880,Fe/BDD,TFE,LiClO4,1.5 V
6881,Fe/BDD,TFE,LiClO4,0.6 mA
6882,Fe/BDD,TFE,LiOAc,0.3 mA
6883,Fe/BDD,TFE,LiOAc,0.9 mA
6884,Fe/BDD,TFE,LiOAc,1.2 mA
6885,Fe/BDD,TFE,LiOAc,1.0 V
6886,Fe/BDD,TFE,LiOAc,1.5 V
6887,Fe/BDD,TFE,LiOAc,0.6 mA
6888,Fe/BDD,TFE,NaO2CAd,0.3 mA
6889,Fe/BDD,TFE,NaO2CAd,0.9 mA
6890,Fe/BDD,TFE,NaO2CAd,1.2 mA
6891,Fe/BDD,TFE,NaO2CAd,1.0 V
6892,Fe/BDD,TFE,NaO2CAd,1.5 V
6893,Fe/BDD,TFE,NaO2CAd,0.6 mA
6894,Fe/BDD,TFE,NaOAc,0.3 mA
6895,Fe/BDD,TFE,NaOAc,0.9 mA
6896,Fe/BDD,TFE,NaOAc,1.2 mA
6897,Fe/BDD,TFE,NaOAc,1.0 V
6898,Fe/BDD,TFE,NaOAc,1.5 V
6899,Fe/BDD,TFE,NaOAc,0.6 mA
6900,Fe/BDD,TFE,nBu4NOAc,0.3 mA
6901,Fe/BDD,TFE,nBu4NOAc,0.9 mA
6902,Fe/BDD,TFE,nBu4NOAc,1.2 mA
6903,Fe/BDD,TFE,nBu4NOAc,1.0 V
6904,Fe/BDD,TFE,nBu4NOAc,1.5 V
6905,Fe/BDD,TFE,nBu4NOAc,0.6 mA
6906,Fe/BDD,TFE,nBu4NPF6,0.3 mA
6907,Fe/BDD,TFE,nBu4NPF6,0.9 mA
6908,Fe/BDD,TFE,nBu4NPF6,1.2 mA
6909,Fe/BDD,TFE,nBu4NPF6,1.0 V
6910,Fe/BDD,TFE,nBu4NPF6,1.5 V
6911,Fe/BDD,TFE,nBu4NPF6,0.6 mA
6912,Fe/BDD,TFE: EtOH(1: 1),NaOPiv,0.3 mA
6913,Fe/BDD,TFE: EtOH(1: 1),NaOPiv,0.9 mA
6914,Fe/BDD,TFE: EtOH(1: 1),NaOPiv,1.2 mA
6915,Fe/BDD,TFE: EtOH(1: 1),NaOPiv,1.0 V
6916,Fe/BDD,TFE: EtOH(1: 1),NaOPiv,1.5 V
6917,Fe/BDD,TFE: EtOH(1: 1),NaOPiv,0.6 mA
6918,Fe/BDD,TFE: EtOH(1: 1),K3PO4,0.3 mA
6919,Fe/BDD,TFE: EtOH(1: 1),K3PO4,0.9 mA
6920,Fe/BDD,TFE: EtOH(1: 1),K3PO4,1.2 mA
6921,Fe/BDD,TFE: EtOH(1: 1),K3PO4,1.0 V
6922,Fe/BDD,TFE: EtOH(1: 1),K3PO4,1.5 V
6923,Fe/BDD,TFE: EtOH(1: 1),K3PO4,0.6 mA
6924,Fe/BDD,TFE: EtOH(1: 1),KOAc,0.3 mA
6925,Fe/BDD,TFE: EtOH(1: 1),KOAc,0.9 mA
6926,Fe/BDD,TFE: EtOH(1: 1),KOAc,1.2 mA
6927,Fe/BDD,TFE: EtOH(1: 1),KOAc,1.0 V
6928,Fe/BDD,TFE: EtOH(1: 1),KOAc,1.5 V
6929,Fe/BDD,TFE: EtOH(1: 1),KOAc,0.6 mA
6930,Fe/BDD,TFE: EtOH(1: 1),LiClO4,0.3 mA
6931,Fe/BDD,TFE: EtOH(1: 1),LiClO4,0.9 mA
6932,Fe/BDD,TFE: EtOH(1: 1),LiClO4,1.2 mA
6933,Fe/BDD,TFE: EtOH(1: 1),LiClO4,1.0 V
6934,Fe/BDD,TFE: EtOH(1: 1),LiClO4,1.5 V
6935,Fe/BDD,TFE: EtOH(1: 1),LiClO4,0.6 mA
6936,Fe/BDD,TFE: EtOH(1: 1),LiOAc,0.3 mA
6937,Fe/BDD,TFE: EtOH(1: 1),LiOAc,0.9 mA
6938,Fe/BDD,TFE: EtOH(1: 1),LiOAc,1.2 mA
6939,Fe/BDD,TFE: EtOH(1: 1),LiOAc,1.0 V
6940,Fe/BDD,TFE: EtOH(1: 1),LiOAc,1.5 V
6941,Fe/BDD,TFE: EtOH(1: 1),LiOAc,0.6 mA
6942,Fe/BDD,TFE: EtOH(1: 1),NaO2CAd,0.3 mA
6943,Fe/BDD,TFE: EtOH(1: 1),NaO2CAd,0.9 mA
6944,Fe/BDD,TFE: EtOH(1: 1),NaO2CAd,1.2 mA
6945,Fe/BDD,TFE: EtOH(1: 1),NaO2CAd,1.0 V
6946,Fe/BDD,TFE: EtOH(1: 1),NaO2CAd,1.5 V
6947,Fe/BDD,TFE: EtOH(1: 1),NaO2CAd,0.6 mA
6948,Fe/BDD,TFE: EtOH(1: 1),NaOAc,0.3 mA
6949,Fe/BDD,TFE: EtOH(1: 1),NaOAc,0.9 mA
6950,Fe/BDD,TFE: EtOH(1: 1),NaOAc,1.2 mA
6951,Fe/BDD,TFE: EtOH(1: 1),NaOAc,1.0 V
6952,Fe/BDD,TFE: EtOH(1: 1),NaOAc,1.5 V
6953,Fe/BDD,TFE: EtOH(1: 1),NaOAc,0.6 mA
6954,Fe/BDD,TFE: EtOH(1: 1),nBu4NOAc,0.3 mA
6955,Fe/BDD,TFE: EtOH(1: 1),nBu4NOAc,0.9 mA
6956,Fe/BDD,TFE: EtOH(1: 1),nBu4NOAc,1.2 mA
6957,Fe/BDD,TFE: EtOH(1: 1),nBu4NOAc,1.0 V
6958,Fe/BDD,TFE: EtOH(1: 1),nBu4NOAc,1.5 V
6959,Fe/BDD,TFE: EtOH(1: 1),nBu4NOAc,0.6 mA
6960,Fe/BDD,TFE: EtOH(1: 1),nBu4NPF6,0.3 mA
6961,Fe/BDD,TFE: EtOH(1: 1),nBu4NPF6,0.9 mA
6962,Fe/BDD,TFE: EtOH(1: 1),nBu4NPF6,1.2 mA
6963,Fe/BDD,TFE: EtOH(1: 1),nBu4NPF6,1.0 V
6964,Fe/BDD,TFE: EtOH(1: 1),nBu4NPF6,1.5 V
6965,Fe/BDD,TFE: EtOH(1: 1),nBu4NPF6,0.6 mA
6966,Fe/BDD,TFE: MeCN(1: 1),NaOPiv,0.3 mA
6967,Fe/BDD,TFE: MeCN(1: 1),NaOPiv,0.9 mA
6968,Fe/BDD,TFE: MeCN(1: 1),NaOPiv,1.2 mA
6969,Fe/BDD,TFE: MeCN(1: 1),NaOPiv,1.0 V
6970,Fe/BDD,TFE: MeCN(1: 1),NaOPiv,1.5 V
6971,Fe/BDD,TFE: MeCN(1: 1),NaOPiv,0.6 mA
6972,Fe/BDD,TFE: MeCN(1: 1),K3PO4,0.3 mA
6973,Fe/BDD,TFE: MeCN(1: 1),K3PO4,0.9 mA
6974,Fe/BDD,TFE: MeCN(1: 1),K3PO4,1.2 mA
6975,Fe/BDD,TFE: MeCN(1: 1),K3PO4,1.0 V
6976,Fe/BDD,TFE: MeCN(1: 1),K3PO4,1.5 V
6977,Fe/BDD,TFE: MeCN(1: 1),K3PO4,0.6 mA
6978,Fe/BDD,TFE: MeCN(1: 1),KOAc,0.3 mA
6979,Fe/BDD,TFE: MeCN(1: 1),KOAc,0.9 mA
6980,Fe/BDD,TFE: MeCN(1: 1),KOAc,1.2 mA
6981,Fe/BDD,TFE: MeCN(1: 1),KOAc,1.0 V
6982,Fe/BDD,TFE: MeCN(1: 1),KOAc,1.5 V
6983,Fe/BDD,TFE: MeCN(1: 1),KOAc,0.6 mA
6984,Fe/BDD,TFE: MeCN(1: 1),LiClO4,0.3 mA
6985,Fe/BDD,TFE: MeCN(1: 1),LiClO4,0.9 mA
6986,Fe/BDD,TFE: MeCN(1: 1),LiClO4,1.2 mA
6987,Fe/BDD,TFE: MeCN(1: 1),LiClO4,1.0 V
6988,Fe/BDD,TFE: MeCN(1: 1),LiClO4,1.5 V
6989,Fe/BDD,TFE: MeCN(1: 1),LiClO4,0.6 mA
6990,Fe/BDD,TFE: MeCN(1: 1),LiOAc,0.3 mA
6991,Fe/BDD,TFE: MeCN(1: 1),LiOAc,0.9 mA
6992,Fe/BDD,TFE: MeCN(1: 1),LiOAc,1.2 mA
6993,Fe/BDD,TFE: MeCN(1: 1),LiOAc,1.0 V
6994,Fe/BDD,TFE: MeCN(1: 1),LiOAc,1.5 V
6995,Fe/BDD,TFE: MeCN(1: 1),LiOAc,0.6 mA
6996,Fe/BDD,TFE: MeCN(1: 1),NaO2CAd,0.3 mA
6997,Fe/BDD,TFE: MeCN(1: 1),NaO2CAd,0.9 mA
6998,Fe/BDD,TFE: MeCN(1: 1),NaO2CAd,1.2 mA
6999,Fe/BDD,TFE: MeCN(1: 1),NaO2CAd,1.0 V
7000,Fe/BDD,TFE: MeCN(1: 1),NaO2CAd,1.5 V
7001,Fe/BDD,TFE: MeCN(1: 1),NaO2CAd,0.6 mA
7002,Fe/BDD,TFE: MeCN(1: 1),NaOAc,0.3 mA
7003,Fe/BDD,TFE: MeCN(1: 1),NaOAc,0.9 mA
7004,Fe/BDD,TFE: MeCN(1: 1),NaOAc,1.2 mA
7005,Fe/BDD,TFE: MeCN(1: 1),NaOAc,1.0 V
7006,Fe/BDD,TFE: MeCN(1: 1),NaOAc,1.5 V
7007,Fe/BDD,TFE: MeCN(1: 1),NaOAc,0.6 mA
7008,Fe/BDD,TFE: MeCN(1: 1),nBu4NOAc,0.3 mA
7009,Fe/BDD,TFE: MeCN(1: 1),nBu4NOAc,0.9 mA
7010,Fe/BDD,TFE: MeCN(1: 1),nBu4NOAc,1.2 mA
7011,Fe/BDD,TFE: MeCN(1: 1),nBu4NOAc,1.0 V
7012,Fe/BDD,TFE: MeCN(1: 1),nBu4NOAc,1.5 V
7013,Fe/BDD,TFE: MeCN(1: 1),nBu4NOAc,0.6 mA
7014,Fe/BDD,TFE: MeCN(1: 1),nBu4NPF6,0.3 mA
7015,Fe/BDD,TFE: MeCN(1: 1),nBu4NPF6,0.9 mA
7016,Fe/BDD,TFE: MeCN(1: 1),nBu4NPF6,1.2 mA
7017,Fe/BDD,TFE: MeCN(1: 1),nBu4NPF6,1.0 V
7018,Fe/BDD,TFE: MeCN(1: 1),nBu4NPF6,1.5 V
7019,Fe/BDD,TFE: MeCN(1: 1),nBu4NPF6,0.6 mA
7020,Fe/GF,AcOH: TFE(1: 1),NaOPiv,0.3 mA
7021,Fe/GF,AcOH: TFE(1: 1),NaOPiv,0.9 mA
7022,Fe/GF,AcOH: TFE(1: 1),NaOPiv,1.2 mA
7023,Fe/GF,AcOH: TFE(1: 1),NaOPiv,1.0 V
7024,Fe/GF,AcOH: TFE(1: 1),NaOPiv,1.5 V
7025,Fe/GF,AcOH: TFE(1: 1),NaOPiv,0.6 mA
7026,Fe/GF,AcOH: TFE(1: 1),K3PO4,0.3 mA
7027,Fe/GF,AcOH: TFE(1: 1),K3PO4,0.9 mA
7028,Fe/GF,AcOH: TFE(1: 1),K3PO4,1.2 mA
7029,Fe/GF,AcOH: TFE(1: 1),K3PO4,1.0 V
7030,Fe/GF,AcOH: TFE(1: 1),K3PO4,1.5 V
7031,Fe/GF,AcOH: TFE(1: 1),K3PO4,0.6 mA
7032,Fe/GF,AcOH: TFE(1: 1),KOAc,0.3 mA
7033,Fe/GF,AcOH: TFE(1: 1),KOAc,0.9 mA
7034,Fe/GF,AcOH: TFE(1: 1),KOAc,1.2 mA
7035,Fe/GF,AcOH: TFE(1: 1),KOAc,1.0 V
7036,Fe/GF,AcOH: TFE(1: 1),KOAc,1.5 V
7037,Fe/GF,AcOH: TFE(1: 1),KOAc,0.6 mA
7038,Fe/GF,AcOH: TFE(1: 1),LiClO4,0.3 mA
7039,Fe/GF,AcOH: TFE(1: 1),LiClO4,0.9 mA
7040,Fe/GF,AcOH: TFE(1: 1),LiClO4,1.2 mA
7041,Fe/GF,AcOH: TFE(1: 1),LiClO4,1.0 V
7042,Fe/GF,AcOH: TFE(1: 1),LiClO4,1.5 V
7043,Fe/GF,AcOH: TFE(1: 1),LiClO4,0.6 mA
7044,Fe/GF,AcOH: TFE(1: 1),LiOAc,0.3 mA
7045,Fe/GF,AcOH: TFE(1: 1),LiOAc,0.9 mA
7046,Fe/GF,AcOH: TFE(1: 1),LiOAc,1.2 mA
7047,Fe/GF,AcOH: TFE(1: 1),LiOAc,1.0 V
7048,Fe/GF,AcOH: TFE(1: 1),LiOAc,1.5 V
7049,Fe/GF,AcOH: TFE(1: 1),LiOAc,0.6 mA
7050,Fe/GF,AcOH: TFE(1: 1),NaO2CAd,0.3 mA
7051,Fe/GF,AcOH: TFE(1: 1),NaO2CAd,0.9 mA
7052,Fe/GF,AcOH: TFE(1: 1),NaO2CAd,1.2 mA
7053,Fe/GF,AcOH: TFE(1: 1),NaO2CAd,1.0 V
7054,Fe/GF,AcOH: TFE(1: 1),NaO2CAd,1.5 V
7055,Fe/GF,AcOH: TFE(1: 1),NaO2CAd,0.6 mA
7056,Fe/GF,AcOH: TFE(1: 1),NaOAc,0.3 mA
7057,Fe/GF,AcOH: TFE(1: 1),NaOAc,0.9 mA
7058,Fe/GF,AcOH: TFE(1: 1),NaOAc,1.2 mA
7059,Fe/GF,AcOH: TFE(1: 1),NaOAc,1.0 V
7060,Fe/GF,AcOH: TFE(1: 1),NaOAc,1.5 V
7061,Fe/GF,AcOH: TFE(1: 1),NaOAc,0.6 mA
7062,Fe/GF,AcOH: TFE(1: 1),nBu4NOAc,0.3 mA
7063,Fe/GF,AcOH: TFE(1: 1),nBu4NOAc,0.9 mA
7064,Fe/GF,AcOH: TFE(1: 1),nBu4NOAc,1.2 mA
7065,Fe/GF,AcOH: TFE(1: 1),nBu4NOAc,1.0 V
7066,Fe/GF,AcOH: TFE(1: 1),nBu4NOAc,1.5 V
7067,Fe/GF,AcOH: TFE(1: 1),nBu4NOAc,0.6 mA
7068,Fe/GF,AcOH: TFE(1: 1),nBu4NPF6,0.3 mA
7069,Fe/GF,AcOH: TFE(1: 1),nBu4NPF6,0.9 mA
7070,Fe/GF,AcOH: TFE(1: 1),nBu4NPF6,1.2 mA
7071,Fe/GF,AcOH: TFE(1: 1),nBu4NPF6,1.0 V
7072,Fe/GF,AcOH: TFE(1: 1),nBu4NPF6,1.5 V
7073,Fe/GF,AcOH: TFE(1: 1),nBu4NPF6,0.6 mA
7074,Fe/GF,EtOH,NaOPiv,0.3 mA
7075,Fe/GF,EtOH,NaOPiv,0.9 mA
7076,Fe/GF,EtOH,NaOPiv,1.2 mA
7077,Fe/GF,EtOH,NaOPiv,1.0 V
7078,Fe/GF,EtOH,NaOPiv,1.5 V
7079,Fe/GF,EtOH,NaOPiv,0.6 mA
7080,Fe/GF,EtOH,K3PO4,0.3 mA
7081,Fe/GF,EtOH,K3PO4,0.9 mA
7082,Fe/GF,EtOH,K3PO4,1.2 mA
7083,Fe/GF,EtOH,K3PO4,1.0 V
7084,Fe/GF,EtOH,K3PO4,1.5 V
7085,Fe/GF,EtOH,K3PO4,0.6 mA
7086,Fe/GF,EtOH,KOAc,0.3 mA
7087,Fe/GF,EtOH,KOAc,0.9 mA
7088,Fe/GF,EtOH,KOAc,1.2 mA
7089,Fe/GF,EtOH,KOAc,1.0 V
7090,Fe/GF,EtOH,KOAc,1.5 V
7091,Fe/GF,EtOH,KOAc,0.6 mA
7092,Fe/GF,EtOH,LiClO4,0.3 mA
7093,Fe/GF,EtOH,LiClO4,0.9 mA
7094,Fe/GF,EtOH,LiClO4,1.2 mA
7095,Fe/GF,EtOH,LiClO4,1.0 V
7096,Fe/GF,EtOH,LiClO4,1.5 V
7097,Fe/GF,EtOH,LiClO4,0.6 mA
7098,Fe/GF,EtOH,LiOAc,0.3 mA
7099,Fe/GF,EtOH,LiOAc,0.9 mA
7100,Fe/GF,EtOH,LiOAc,1.2 mA
7101,Fe/GF,EtOH,LiOAc,1.0 V
7102,Fe/GF,EtOH,LiOAc,1.5 V
7103,Fe/GF,EtOH,LiOAc,0.6 mA
7104,Fe/GF,EtOH,NaO2CAd,0.3 mA
7105,Fe/GF,EtOH,NaO2CAd,0.9 mA
7106,Fe/GF,EtOH,NaO2CAd,1.2 mA
7107,Fe/GF,EtOH,NaO2CAd,1.0 V
7108,Fe/GF,EtOH,NaO2CAd,1.5 V
7109,Fe/GF,EtOH,NaO2CAd,0.6 mA
7110,Fe/GF,EtOH,NaOAc,0.3 mA
7111,Fe/GF,EtOH,NaOAc,0.9 mA
7112,Fe/GF,EtOH,NaOAc,1.2 mA
7113,Fe/GF,EtOH,NaOAc,1.0 V
7114,Fe/GF,EtOH,NaOAc,1.5 V
7115,Fe/GF,EtOH,NaOAc,0.6 mA
7116,Fe/GF,EtOH,nBu4NOAc,0.3 mA
7117,Fe/GF,EtOH,nBu4NOAc,0.9 mA
7118,Fe/GF,EtOH,nBu4NOAc,1.2 mA
7119,Fe/GF,EtOH,nBu4NOAc,1.0 V
7120,Fe/GF,EtOH,nBu4NOAc,1.5 V
7121,Fe/GF,EtOH,nBu4NOAc,0.6 mA
7122,Fe/GF,EtOH,nBu4NPF6,0.3 mA
7123,Fe/GF,EtOH,nBu4NPF6,0.9 mA
7124,Fe/GF,EtOH,nBu4NPF6,1.2 mA
7125,Fe/GF,EtOH,nBu4NPF6,1.0 V
7126,Fe/GF,EtOH,nBu4NPF6,1.5 V
7127,Fe/GF,EtOH,nBu4NPF6,0.6 mA
7128,Fe/GF,EtOH: MeCN(1: 1),NaOPiv,0.3 mA
7129,Fe/GF,EtOH: MeCN(1: 1),NaOPiv,0.9 mA
7130,Fe/GF,EtOH: MeCN(1: 1),NaOPiv,1.2 mA
7131,Fe/GF,EtOH: MeCN(1: 1),NaOPiv,1.0 V
7132,Fe/GF,EtOH: MeCN(1: 1),NaOPiv,1.5 V
7133,Fe/GF,EtOH: MeCN(1: 1),NaOPiv,0.6 mA
7134,Fe/GF,EtOH: MeCN(1: 1),K3PO4,0.3 mA
7135,Fe/GF,EtOH: MeCN(1: 1),K3PO4,0.9 mA
7136,Fe/GF,EtOH: MeCN(1: 1),K3PO4,1.2 mA
7137,Fe/GF,EtOH: MeCN(1: 1),K3PO4,1.0 V
7138,Fe/GF,EtOH: MeCN(1: 1),K3PO4,1.5 V
7139,Fe/GF,EtOH: MeCN(1: 1),K3PO4,0.6 mA
7140,Fe/GF,EtOH: MeCN(1: 1),KOAc,0.3 mA
7141,Fe/GF,EtOH: MeCN(1: 1),KOAc,0.9 mA
7142,Fe/GF,EtOH: MeCN(1: 1),KOAc,1.2 mA
7143,Fe/GF,EtOH: MeCN(1: 1),KOAc,1.0 V
7144,Fe/GF,EtOH: MeCN(1: 1),KOAc,1.5 V
7145,Fe/GF,EtOH: MeCN(1: 1),KOAc,0.6 mA
7146,Fe/GF,EtOH: MeCN(1: 1),LiClO4,0.3 mA
7147,Fe/GF,EtOH: MeCN(1: 1),LiClO4,0.9 mA
7148,Fe/GF,EtOH: MeCN(1: 1),LiClO4,1.2 mA
7149,Fe/GF,EtOH: MeCN(1: 1),LiClO4,1.0 V
7150,Fe/GF,EtOH: MeCN(1: 1),LiClO4,1.5 V
7151,Fe/GF,EtOH: MeCN(1: 1),LiClO4,0.6 mA
7152,Fe/GF,EtOH: MeCN(1: 1),LiOAc,0.3 mA
7153,Fe/GF,EtOH: MeCN(1: 1),LiOAc,0.9 mA
7154,Fe/GF,EtOH: MeCN(1: 1),LiOAc,1.2 mA
7155,Fe/GF,EtOH: MeCN(1: 1),LiOAc,1.0 V
7156,Fe/GF,EtOH: MeCN(1: 1),LiOAc,1.5 V
7157,Fe/GF,EtOH: MeCN(1: 1),LiOAc,0.6 mA
7158,Fe/GF,EtOH: MeCN(1: 1),NaO2CAd,0.3 mA
7159,Fe/GF,EtOH: MeCN(1: 1),NaO2CAd,0.9 mA
7160,Fe/GF,EtOH: MeCN(1: 1),NaO2CAd,1.2 mA
7161,Fe/GF,EtOH: MeCN(1: 1),NaO2CAd,1.0 V
7162,Fe/GF,EtOH: MeCN(1: 1),NaO2CAd,1.5 V
7163,Fe/GF,EtOH: MeCN(1: 1),NaO2CAd,0.6 mA
7164,Fe/GF,EtOH: MeCN(1: 1),NaOAc,0.3 mA
7165,Fe/GF,EtOH: MeCN(1: 1),NaOAc,0.9 mA
7166,Fe/GF,EtOH: MeCN(1: 1),NaOAc,1.2 mA
7167,Fe/GF,EtOH: MeCN(1: 1),NaOAc,1.0 V
7168,Fe/GF,EtOH: MeCN(1: 1),NaOAc,1.5 V
7169,Fe/GF,EtOH: MeCN(1: 1),NaOAc,0.6 mA
7170,Fe/GF,EtOH: MeCN(1: 1),nBu4NOAc,0.3 mA
7171,Fe/GF,EtOH: MeCN(1: 1),nBu4NOAc,0.9 mA
7172,Fe/GF,EtOH: MeCN(1: 1),nBu4NOAc,1.2 mA
7173,Fe/GF,EtOH: MeCN(1: 1),nBu4NOAc,1.0 V
7174,Fe/GF,EtOH: MeCN(1: 1),nBu4NOAc,1.5 V
7175,Fe/GF,EtOH: MeCN(1: 1),nBu4NOAc,0.6 mA
7176,Fe/GF,EtOH: MeCN(1: 1),nBu4NPF6,0.3 mA
7177,Fe/GF,EtOH: MeCN(1: 1),nBu4NPF6,0.9 mA
7178,Fe/GF,EtOH: MeCN(1: 1),nBu4NPF6,1.2 mA
7179,Fe/GF,EtOH: MeCN(1: 1),nBu4NPF6,1.0 V
7180,Fe/GF,EtOH: MeCN(1: 1),nBu4NPF6,1.5 V
7181,Fe/GF,EtOH: MeCN(1: 1),nBu4NPF6,0.6 mA
7182,Fe/GF,AcOH,NaOPiv,0.3 mA
7183,Fe/GF,AcOH,NaOPiv,0.9 mA
7184,Fe/GF,AcOH,NaOPiv,1.2 mA
7185,Fe/GF,AcOH,NaOPiv,1.0 V
7186,Fe/GF,AcOH,NaOPiv,1.5 V
7187,Fe/GF,AcOH,NaOPiv,0.6 mA
7188,Fe/GF,AcOH,K3PO4,0.3 mA
7189,Fe/GF,AcOH,K3PO4,0.9 mA
7190,Fe/GF,AcOH,K3PO4,1.2 mA
7191,Fe/GF,AcOH,K3PO4,1.0 V
7192,Fe/GF,AcOH,K3PO4,1.5 V
7193,Fe/GF,AcOH,K3PO4,0.6 mA
7194,Fe/GF,AcOH,KOAc,0.3 mA
7195,Fe/GF,AcOH,KOAc,0.9 mA
7196,Fe/GF,AcOH,KOAc,1.2 mA
7197,Fe/GF,AcOH,KOAc,1.0 V
7198,Fe/GF,AcOH,KOAc,1.5 V
7199,Fe/GF,AcOH,KOAc,0.6 mA
7200,Fe/GF,AcOH,LiClO4,0.3 mA
7201,Fe/GF,AcOH,LiClO4,0.9 mA
7202,Fe/GF,AcOH,LiClO4,1.2 mA
7203,Fe/GF,AcOH,LiClO4,1.0 V
7204,Fe/GF,AcOH,LiClO4,1.5 V
